_ - id,_ - url,_ - rank,_ - city,_ - ifmid,_ - ifiid,_ - growth,_ - workers,_ - company,_ - website,_ - state_l,_ - state_s,_ - revenue,_ - zipcode,_ - founded,_ - industry,_ - latitude,_ - metrocode,_ - longitude,_ - yrs_on_list,_ - previous_workers,_ - metro,_ - partner_lists - partner_lists
88526,lafayette,2393,New York City,9,3,181.0744,15,Lafayette,lafayette-re.com,New York,NY,21609000,10016,2011,Real Estate,40.74522,"New York-Newark-Jersey City, NY-NJ-PA",-73.9783,1,5,New York City,
44025,jmf-solutions,2394,Daphne,589,14,180.8624,31,JMF Solutions,jmfsolutions.net,Alabama,AL,3663623,36526,2005,Telecommunications,30.61115,"Daphne-Fairhope-Foley, AL",-87.85992,3,14,,
88527,fyzical-vegas,2395,Las Vegas,1004,10,180.7734,81,FYZICAL Vegas,fyzicalvegas.com,Nevada,NV,6499802,89145,2013,Health,36.16769,"Las Vegas-Henderson-Paradise, NV",-115.27786,1,35,"Las Vegas, NV",
19544,sunset-healthcare-solutions,2396,Chicago,17,10,180.7629,50,Sunset Healthcare Solutions,sunsethcs.com,Illinois,IL,30494588,60601,2004,Health,41.88531,"Chicago-Naperville-Elgin, IL-IN-WI",-87.62212,7,45,Chicago,
88528,fc-hospitality,2397,Clarendon Hills,17,22,180.7274,425,FC Hospitality,fcvalet.com fchealthservices.com,Illinois,IL,7607194,60514,1998,Travel & Hospitality,41.79569,"Chicago-Naperville-Elgin, IL-IN-WI",-87.96215,1,200,Chicago,
21290,integrity-express-logistics,2398,Cincinnati,47,6,180.6651,295,Integrity Express Logistics,intxlog.com,Ohio,OH,245161000,45242,2007,Logistics & Transportation,39.2428,"Cincinnati, OH-KY-IN",-84.353,7,119,Cincinnati,
88529,inside-sales-solutions,2399,St Petersburg,7,5,180.6566,55,Inside Sales Solutions,isaless.com,Florida,FL,4285326,33705,2010,Advertising & Marketing,27.73449,"Tampa-St. Petersburg-Clearwater, FL",-82.6434,1,22,Tampa,
25745,yochana-it-solutions,2400,Farmington Hills,50,21,180.4074,400,Yochana IT Solutions,yochanait.com,Michigan,MI,61791036,48335,2009,Human Resources,42.46287,"Detroit-Warren-Dearborn, MI",-83.40503,5,200,Detroit,
37553,neoncrm,2401,Chicago,17,9,180.391,45,NeonCRM,neoncrm.com,Illinois,IL,5656906,60613,2004,Software,41.95695,"Chicago-Naperville-Elgin, IL-IN-WI",-87.65427,4,15,Chicago,
21481,das-health,2402,Tampa,7,10,180.3207,73,DAS Health,dashealth.com,Florida,FL,14479985,33602,2003,Health,27.95353,"Tampa-St. Petersburg-Clearwater, FL",-82.45711,7,29,Tampa,
75631,owenby-law,2403,Jacksonville,64,17,180.2418,24,Owenby Law,owenbylaw.com,Florida,FL,2959709,32211,2004,Business Products & Services,30.33221,"Jacksonville, FL",-81.58279,2,8,"Jacksonville, FL",
88530,westerntechsystems,2404,Carrolton,8,25,180.1218,49,WesternTechSystems,westerntechsystems.com,Texas,TX,88637404,75006,2010,Computer Hardware,32.96214,"Dallas-Fort Worth-Arlington, TX",-96.89858,1,3,Dallas,
72331,soapbox,2405,Washington,3,4,180.1212,6,Soapbox,soapboxsoaps.com,District of Columbia,DC,2403154,20007,2010,Consumer Products & Services,38.91436,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.07934,2,7,"Washington, DC",
36672,signal-digital,2406,Chicago,17,9,180.0103,160,Signal Digital,signal.co,Illinois,IL,48264809,60601,2010,Software,41.88531,"Chicago-Naperville-Elgin, IL-IN-WI",-87.62212,4,138,Chicago,
