Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue,
SK Telecom,16.979,15.721,2.42,33.9,476,Telecommunication Services,Telecommunications services,Asia,South Korea,South Korea,,Jung-Ho Park,http://www.forbes.com/companies/sk-telecom/,0.071386431,0.153934228,
Asahi Group Holdings,25.313,19.379,1.3806,28.986,477,Consumer Staples,Beverages,Asia,Japan,Japan,,Akiyoshi Koji,http://www.forbes.com/companies/asahi-group-holdings/,0.04762989,0.071242066,
Formosa Petrochemical,40.173,21.399,2.5296,16.029,478,Energy,Oil & Gas Operations,Asia,Taiwan,Taiwan,,Ming Tsao,http://www.forbes.com/companies/formosa-petrochemical/,0.157813962,0.118211131,
Sumitomo Mitsui Trust,16.324,11.346,1.0176,570.031,479,Financials,Regional Banks,Asia,Japan,Japan,,Hitoshi Tsunekage,http://www.forbes.com/companies/sumitomo-mitsui-trust/,0.001785166,0.089687996,
Barclays,49.718,27.142,-2.1738,1533.001,480,Financials,Major Banks,Europe,United Kingdom,United Kingdom,,Jes Staley,http://www.forbes.com/companies/barclays/,-0.001418003,-0.080089898,
Emerson Electric,45.366,16.538,1.777,19.785,481,Industrials,Electrical Equipment,North America,United States,Missouri,Missouri,David Farr,http://www.forbes.com/companies/emerson-electric/,0.089815517,0.10744951,
Credit Suisse Group,43.717,32.741,-0.9159,844.888,482,Financials,Major Banks,Europe,Switzerland,Switzerland,,Tidjane Thiam,http://www.forbes.com/companies/credit-suisse-group/,-0.001084049,-0.0279741,
Paccar,22.442,20.852,1.877,23.782,483,Industrials,Heavy Equipment,North America,United States,Washington,Washington,Ronald Armstrong,http://www.forbes.com/companies/paccar/,0.078925238,0.090015346,
Waste Management,35.784,14.556,2.047,22.106,484,Industrials,Environmental & Waste,North America,United States,Texas,Texas,James Fish,http://www.forbes.com/companies/waste-management/,0.092599294,0.140629294,
Samsung C&T,23.009,27.05,0.744,45.817,485,Industrials,Trading Companies,Asia,South Korea,South Korea,,Chi-Hun Choi,http://www.forbes.com/companies/samsung-ct/,0.016238514,0.027504621,
Woolworths,28.273,43.255,1.3623,18.602,486,Consumer Staples,Food Retail,Australia,Australia,Australia,,Bong-Yeong Kim,http://www.forbes.com/companies/woolworths/,0.073234061,0.031494625,
Richemont,54.52,12.328,1.82,22.775,487,Consumer Discretionary,Specialty Stores,Europe,Switzerland,Switzerland,,Shin Kim,http://www.forbes.com/companies/richemont/,0.079912184,0.147631408,
Loews,16.506,13.825,1.162,80.786,488,Financials,Diversified Insurance,North America,United States,New York,New York,Jim MBA,http://www.forbes.com/companies/loews/,0.01438368,0.084050633,
Bank Mandiri,24.086,8.11,1.6684,79.774,489,Financials,Regional Banks,Asia,Indonesia,Indonesia,,Kartika Wirjoatmodjo,http://www.forbes.com/companies/bank-mandiri/,0.020914082,0.205721332,
State Bank of India,33.275,46.178,0.0012,535.022,489,Financials,Regional Banks,Asia,India,India,,Rajnish Kumar,http://www.forbes.com/companies/state-bank-of-india/,2.2429E-06,2.59864E-05,
Swire Pacific,15.141,10.303,3.3454,53.868,491,Industrials,Conglomerates,Asia,Hong Kong,Hong Kong,,John Slosar,http://www.forbes.com/companies/swire-pacific/,0.062103661,0.324701543,
Citic Securities,35.781,6.116,1.786,104.848,492,Financials,Investment Services,Asia,China,China,,Ming Yang,http://www.forbes.com/companies/citic-securities/,0.017034183,0.292020929,
Telenor,32.374,14.957,1.5763,25.022,493,Telecommunication Services,Telecommunications services,Europe,Norway,Norway,,Sigve Brekke,http://www.forbes.com/companies/telenor/,0.062996563,0.105388781,
Longfor Properties,17.727,10.818,1.8756,55.707,494,Financials,Real Estate,Asia,China,China,,Ming Shao,http://www.forbes.com/companies/longfor-properties/,0.033669018,0.173377704,
Deutsche Bank,28.724,44.563,-1.4152,1817.435,495,Financials,Major Banks,Europe,Germany,Germany,,Christian Sewing,http://www.forbes.com/companies/deutsche-bank/,-0.00077868,-0.031757287,
HeidelbergCement,18.954,19.475,1.035,42.526,496,Materials,Construction Materials,Europe,Germany,Germany,,Bernd Scheifele,http://www.forbes.com/companies/heidelbergcement/,0.024338052,0.053145058,
Public Service Enterprise Group,25.842,9.132,2.018,42.79,497,Utilities,Electric Utilities,North America,United States,New Jersey,New Jersey,Ralph Izzo,http://www.forbes.com/companies/public-service-enterprise-group/,0.047160552,0.220981165,
Sherwin-Williams,35.649,16.187,1.7832,20.368,498,Consumer Discretionary,Home Improvement Retail,North America,United States,Ohio,Ohio,John Morikis,http://www.forbes.com/companies/sherwin-williams/,0.087549097,0.110162476,
General Mills,25.293,15.657,2.1855,22.241,499,Consumer Staples,Food Processing,North America,United States,Minnesota,Minnesota,Jeff Harmening,http://www.forbes.com/companies/general-mills/,0.098264467,0.139586128,
Marsh & McLennan,41.387,14.536,1.613,21.379,500,Financials,Insurance Brokers,North America,United States,New York,New York,Daniel Glaser,http://www.forbes.com/companies/marsh-mclennan/,0.075447869,0.110965878,
Aisin Seiki,14.857,35.269,1.214,33.173,501,Consumer Discretionary,Auto & Truck Parts,Asia,Japan,Japan,,Kanshiro Toyoda,http://www.forbes.com/companies/aisin-seiki/,0.036596027,0.034421163,
JFE Holdings,12.463,33.191,1.305,41.945,501,Materials,Iron & Steel,Asia,Japan,Japan,,Eiji Hayashida,http://www.forbes.com/companies/jfe-holdings/,0.031112171,0.039317887,
Tenaga Nasional,23.084,11.043,1.923,35.65,503,Utilities,Electric Utilities,Asia,Malaysia,Malaysia,,Azman Mohammed,http://www.forbes.com/companies/tenaga-nasional/,0.053941094,0.174137463,
Swiss Re,29.931,42.295,0.3511,214.584,504,Financials,Diversified Insurance,Europe,Switzerland,Switzerland,,Christian Mumenthaler,http://www.forbes.com/companies/swiss-re/,0.001636189,0.008301218,
Kirin Holdings,25.532,16.621,2.1587,21.066,505,Consumer Staples,Beverages,Asia,Japan,Japan,,Senji Miyake,http://www.forbes.com/companies/kirin-holdings/,0.10247318,0.129877865,
BOE Technology Group,24.074,14.013,1.084,41.758,506,Information Technology,Electronics,Asia,China,China,,Yan Chen,http://www.forbes.com/companies/boe-technology-group/,0.025959098,0.07735674,
Wheelock,14.84,9.105,2.6396,72.873,507,Financials,Real Estate,Asia,Hong Kong,Hong Kong,,Chun Woo,http://www.forbes.com/companies/wheelock/,0.03622192,0.289906645,
Talanx,10.544,37.965,0.758,182.649,508,Financials,Diversified Insurance,Europe,Germany,Germany,,Torsten Leue,http://www.forbes.com/companies/talanx/,0.004150036,0.019965758,
Sasol,24.895,13.202,1.3977,32.866,509,Materials,Diversified Chemicals,Africa,South Africa,South Africa,,Stephen Cornell,http://www.forbes.com/companies/sasol/,0.042527232,0.105870323,
Metallurgical Corp of China,11.395,38.159,0.952,67.034,510,Industrials,Construction Services,Asia,China,China,,Bongani Nqwababa,http://www.forbes.com/companies/metallurgical-corp-of-china/,0.014201748,0.024948243,
CLP Holdings,26.504,11.815,1.8285,29.185,511,Utilities,Electric Utilities,Asia,Hong Kong,Hong Kong,,Richard Lancaster,http://www.forbes.com/companies/clp-holdings/,0.062652047,0.154760897,
NTPC,20.53,11.986,1.5986,39.83,512,Utilities,Electric Utilities,Asia,India,India,,Gurdeep Singh,http://www.forbes.com/companies/ntpc/,0.040135576,0.133372268,
Citizens Financial Group,20.552,6.777,1.72,153.453,513,Financials,Regional Banks,North America,United States,Rhode Island,Rhode Island,Bruce van Saun,http://www.forbes.com/companies/citizens-financial-group/,0.011208644,0.253799616,
EnBW-Energie Baden,9.382,24.785,2.3169,49.909,514,Utilities,Electric Utilities,Europe,Germany,Germany,,Frank Mastiaux,http://www.forbes.com/companies/enbw-energie-baden/,0.046422489,0.093479927,
Investor AB,33.927,6.584,2.1964,49.816,515,Financials,Investment Services,Europe,Sweden,Sweden,,Johan Forssell,http://www.forbes.com/companies/investor-ab/,0.044090252,0.333596598,
CME Group,54.24,3.824,4.2624,69.919,516,Financials,Investment Services,North America,United States,Illinois,Illinois,Terrence Duffy,http://www.forbes.com/companies/cme-group/,0.06096197,1.114644351,
