year,rank,name,url,founded,street1,city,state,zip,revenue,% growth,Headcount,Industry,Revenue Raw
2017,1871,LeadCreations.com,leadcreations.com,1/1/03,"12717 W. Sunrise Blvd., #312 ",Sunrise,FL,33323,4.4 million,205,3,Advertising & Marketing,4355650
2017,1471,Account Control Technology Holdings,accountcontrol.com,1/1/90,21700 Oxnard Street Suite 1400,Woodland Hills,CA,91367,300.7 million,276,4929,Financial Services,300663616
2017,2701,WFN Strategies,wfnstrategies.com,1/1/01,21495 Ridgetop Circle Suite 201,Sterling,VA,20166,2.7 million,128,21,Telecommunications,2709742
2017,1531,TargetX.com,targetx.com,1/1/98,1000 River Road Suite 410,Philadelphia,PA,19428,15 million,262,80,Advertising & Marketing,14980000
2017,3304,Equus Software,equusoft.com,1/1/99,1809 Blake Street Suite 200,Denver,CO,80202,23.6 million,96,110,Software,23629180
2017,3132,Career Step,careerstep.com,1/1/92,2901 Ashton Blvd ,Lehi,UT,84043,46.8 million,105,127,Education,46752410
2017,3096,Big Ass Solutions,bigasssolutions.com,1/1/99,2348 Innovation Dr ,Lexington,KY,40511,239.5 million,106,947,Manufacturing,239526848
2017,3504,DSicovery,dsicovery.com,1/1/99,"500 Church Street, Suite 300 Suite 300",Nashville,TN,37219,21.6 million,89,80,Business Products & Services,21590583
2017,4655,Intelligent Logistics,inlogistics.com,1/1/02,1100 E Howard Lane 1100,Austin,TX,78753,18.6 million,50,62,Logistics & Transportation,18635415
2017,4186,Impact Networking,impactmybiz.com,1/1/99,13875 W. Boulton Blvd ,Lake Forest,IL,60045,60.2 million,64,375,Business Products & Services,60237771
2017,4304,Cape Medical Supply,capemedical.com,1/1/77,28 Jan Sebastian Drive ,Sandwich,MA,02563,14.1 million,60,79,Health,14077575
2017,2613,Sun Light & Power,sunlightandpower.com,1/1/76,1035 Folger Ave ,Berkeley,CA,94710,23.7 million,134,79,Energy,23672475
2017,4200,WideOrbit,wideorbit.com,1/1/99,1160 Battery Street #300 ,San Francisco,CA,94111,118 million,63,570,Software,117986444
2017,4634,Southwest Solutions Group,southwestsolutions.com,1/1/72,"2535-B E. State Hwy. 121, Ste. 110 ",Lewisville,TX,75056,41.8 million,51,94,Business Products & Services,41788717
2017,3931,People's Care,peoplescare.com,1/1/98,13920 CITY CENTER DRIVE SUITE 290,Chino Hills,CA,91709,50.1 million,73,1025,Health,50078791
2017,3819,XIFIN,xifin.com,1/1/97,12225 El Camino Real ,San Diego,CA,92130,66.7 million,77,313,Software,66699000
2017,4919,ConServe,conserve-arm.com,1/1/85,200 CrossKeys Offfice Park ,Fairport,NY,14450,115.6 million,43,840,Financial Services,115587243
2017,4396,New Glarus Brewing Co.,newglarusbrewing.com,1/1/93,2400 State Highway 69 PO Box 759,New Glarus,WI,53574,58.4 million,58,120,Food & Beverage,58395742
2017,2462,SADA Systems,sadasystems.com,1/1/00,5250 Lankershim Blvd Suite 620 ,North Hollywood,CA,91601,69.4 million,144,161,IT Services,69449773
2017,4290,M S International,msistone.com,1/1/75,2095 North Batavia Street ,Orange,CA,92865,899.6 million,61,1458,Consumer Products & Services,899619000
2017,2263,Michigan Custom Machines,mcm1.com,1/1/94,22750 Heslip Drive ,Novi,MI,48375,13.7 million,161,43,Manufacturing,13745082
2017,4848,GTN Technical Staffing,gtntechnicalstaffing.com,1/1/00,5151 Belt Line Rd. Ste 700 ,Dallas,TX,75254,28 million,45,179,Human Resources,28003426
2017,2902,Lifescript,lifescript.com,1/1/99,4000 MacArthur Blvd Suite 800,Newport Beach,CA,92660,85.6 million,117,103,Advertising & Marketing,85623000
